REPONAME,DrawAllocation,HandlerLeak,Recycle,FloatMath,UseValueOf,UseSparseArrays,ViewHolder,Total_Identified_Issues
ryanamaral/android-quill,1,1,0,27,8,0,0,37
ric03uec/cramit,0,0,0,0,0,1,0,1
dirktrossen/AIRS,0,21,9,2,0,0,0,32
orrc/fosdem-android,0,0,0,0,1,0,0,1
dkovalkov/Sketcher-Tab,5,0,0,0,0,7,0,12
Anasthase/TintBrowser,0,3,6,1,2,0,0,12
gostaj/MtGoxWidget,0,0,0,0,0,2,0,2
alistairdickie/BlueFlyVario_Android,0,2,0,0,0,0,0,2
RafaelKeramidas/SAMPApp,0,0,3,0,0,0,0,3
loadrunner/Facebook-Contact-Sync,0,0,1,0,0,0,0,1
vogtp/android-CPU-tuner,2,0,10,0,0,11,0,23
andhikai/ferticalc,7,0,3,0,0,0,0,10
TomTasche/OpenDocument.droid,0,0,0,0,0,0,2,2
ZorgeR/nanoConverter,0,21,0,0,0,0,0,21
FieldDB/AndroidSpeechRecognitionTrainer,0,0,5,0,0,0,1,6
blurpy/kouchat-android,0,0,0,0,1,0,0,1
dyne/ZShaolin,1,0,0,0,12,0,1,14
HanleyTang/iforward,0,8,0,0,0,0,1,9
lewica-pl-android,0,0,0,0,0,1,0,1
rjmarsan/PlasmaSound,0,0,0,0,5,0,0,5
MW100/Cam,0,0,0,0,1,0,0,1
iutinvg/buxoff,0,1,0,0,1,0,0,2
nolanlawson/KeepScore,4,0,1,0,1,0,1,7
zielmicha/freeciv-android,0,1,0,0,0,0,0,1
saeedzareian/Persianmatthill/darwinwallet,0,3,0,0,0,4,0,7
midhunhk/message-counter,0,0,1,0,0,0,0,1
alinmindroc/Mood-Player,0,3,0,0,0,0,0,3
renlijie/TripTrack,0,1,0,0,0,0,0,1
asksven/BetterWifiOnOff,0,0,0,0,0,0,1,1
shaubert/android-dirty-wall,0,0,0,0,2,1,0,3
fjer/honeybadger,0,0,14,0,0,0,0,14
sureshs592/where-is-my-cash,0,0,8,0,0,0,0,8
garrapeta/jumplings,0,0,0,2,0,0,0,2
thamizha/android-tamilvisai,1,0,0,0,0,8,0,9
prellele/shoppinglist-android,0,0,1,0,0,0,1,2
mchow01/FingerDoodle,3,0,0,0,0,0,0,3
matthill/darwinwallet,0,3,0,0,0,3,0,6
dnizetic/file-explorer-android,0,0,0,0,0,0,11,11
ProjectSPAN/android-manet-manager,0,6,0,0,0,0,0,6
bamptonm/RedReader,0,0,0,0,0,1,0,1
Mikuz/Boarder,17,0,0,0,0,0,4,21
dpadgett/Timer,15,0,2,0,0,3,2,22
loadrunner/wmg-android,4,0,0,0,0,0,0,4
dmide/DubnaBus,0,1,0,0,0,1,0,2
chatea/FileController,0,5,0,0,0,0,0,5
knilch0r/freeshisen,0,1,0,0,0,0,0,1
mickadam/PinholeCalculator,0,0,0,0,2,0,0,2
alt236/Wifi-Key-Recovery---Android,0,1,0,0,0,0,0,1
sketchpunk/opencomicreader,0,1,2,0,1,0,0,4
alopatindev/smsnenado,0,0,0,0,0,0,1,1
hrk/androidTileMapEditor,3,0,0,0,0,2,0,5
mfneirae/Laboratorio5,0,0,0,0,0,1,0,1
arthuryip723/CatholicBible,0,0,1,0,0,0,0,1
jpapayan/tuberun_android,0,0,11,0,0,3,0,14
jbruchanov/FastNote,0,0,0,0,4,0,0,4
ieee8023/PDFViewer,1,0,2,33,0,0,0,36
cubei/FlappyCow,2,0,0,0,0,0,0,2
shahan312/princess-coloring-book-hd-android,1,0,0,0,0,0,0,1
Dewep/IntranetEpitech,0,1,0,0,0,0,0,1
yacob89/7MinutesWithTheLord,0,1,0,0,0,0,0,1
jamessanford/kegs,0,2,0,0,0,0,0,2
utolosa002/BerziklApp,0,0,5,0,0,0,0,5
AlbertoCejas/GermanLearningUCA,1,2,0,0,0,1,1,5
stdev293/battery-waster-android,0,1,0,0,0,0,0,1
xisberto/workschedule,0,0,5,0,0,0,0,5
hanneseilers/Mensa-SH,0,0,0,0,0,0,1,1
ilyaev/deject,0,0,0,0,0,1,0,1
IvanPosohov/customize-vibrancy,0,0,0,0,0,0,1,1
hongsenliu/chinese-checkers,0,0,0,0,6,1,0,7
SunyataZero/KindMind,0,0,24,0,0,0,0,24
mobiRic/StackFlairWidget,0,2,0,0,0,0,0,2
v1k/palabras,0,0,3,0,1,0,0,4
IntegersOfK/Beer-Converter,1,0,0,0,0,0,0,1
aparecidoSilvano/maniana,0,0,0,0,1,0,0,1
lablogga/DIYgenomics_Android,1,0,0,0,0,2,0,3
MrNinja/NinjaLeanJapanese,1,0,2,0,0,0,0,3
uberspot/AnagramSolver,0,0,1,0,0,0,0,1
eziosoft/MultiWii_EZ_GUI,10,1,0,0,0,1,1,13
ricburton/Tug,0,0,2,0,0,0,0,2
thelollies/MPC,0,0,9,0,0,0,0,9
xperia64/timidity-ae,0,0,0,0,0,1,1,2
sweetiepiggy/Raspberry-Bus-Malaysia,0,0,15,0,0,0,0,15
Kernald/buildbot-watcher,0,0,0,0,0,0,2,2
roelb/Simple-C25K,0,1,0,0,0,0,1,2
wststreet2/LcdLiveWallpaper,1,0,0,0,0,0,0,1
jajimenez/workpage,0,0,23,0,0,0,4,27
HalcyonFish/OHSCompSciClubPixelDungeon,0,0,0,7,0,0,0,7
artiomchi/Dual-Battery-Widget,0,1,0,0,0,0,0,1
LabPLC/Traxi,0,2,0,0,0,0,2,4
Nilhcem/frcndict-android,0,0,0,0,0,1,1,2
kmshack/busanbus-android,0,4,0,0,0,0,0,4
onyxbits/listmyaps,0,0,1,0,0,0,1,2
kjparkdavid/lolpingchecker,0,1,0,0,0,0,0,1
SpazeDog/mounts2sd,0,0,0,0,0,2,0,2
kromonos/Mustard-Mod,0,5,0,0,1,2,0,8
Pi-Developers/Floata-Client,0,0,1,0,0,0,0,1
sasuomi/risteilyohjelma14,1,0,0,0,0,0,0,1
grchld/rftg-scorer,3,0,0,0,0,0,0,3
bvalosek/cpuspy,0,0,0,0,4,2,0,6
manuel-palacio/CNG-Stations,0,0,0,0,1,0,0,1
marcioapaiva/mocos-controlator,0,0,4,0,0,0,0,4
loisaidasam/talking-james,6,0,0,0,0,0,0,6
mehmetakiftutuncu/eshotroid-legacy,0,0,2,0,0,0,0,2
darshakframework/darshak,0,2,1,0,0,0,0,3
sticksoft/ADCPU-16Emu,2,0,0,0,0,5,0,7
R-Tur/EasyRAWConverter,0,0,0,0,0,0,1,1
CreamEgg/mysoftwareprojects,0,0,0,0,0,0,1,1
rjmarsan/Pixelesque,3,0,0,0,1,2,0,6
tobijanssen/GSOPlan,0,0,0,0,0,0,1,1
lociii/TrackMap,0,3,1,0,0,0,0,4
andrewkiluk/Mach-Music-Player,0,0,3,0,0,0,0,3
felixb/portal-timer,0,1,0,0,0,0,0,1
onyxbits/remotekeyboard,0,0,1,0,8,0,0,9
cmykola/Lexin,0,0,5,0,0,0,3,8
BandTec/SerialBTControl,0,1,0,0,0,0,0,1
xplodwild/android_packages_apps_Focal,1,0,0,0,25,0,0,26
sndurkin/notification-check,0,0,0,0,0,0,1,1
Vitaliy-Yakovchuk/ForeignReader,0,0,0,0,0,0,1,1
dokgu/JoinDOTA,0,7,0,0,0,0,0,7
marin-liovic/Fast-Brightness-Control-Widget,0,0,0,0,0,4,0,4
prrt714/UFrame,9,0,0,5,0,0,0,14
thalespf/wizard-maker-android,0,0,0,0,1,0,1,2
kumabotz/tappy,0,0,0,0,1,0,0,1
BlochsTech/BitcoinCardTerminal,0,1,0,0,0,0,0,1
Conorbro/Biology,0,0,6,0,0,0,0,6
rngtng/IrDude,0,0,0,0,0,1,0,1
chrispbailey/ToDo-List-Widget,1,0,0,0,0,1,0,2
NateLove/BT4Android-trunk,0,0,0,0,0,1,0,1
jpjodoin/transport-mtl,4,0,0,0,0,0,0,4
PileOnDevs/pile-on,1,0,0,0,0,0,0,1
adiviness/DrunkFriend,0,0,9,0,0,0,0,9
screenfreeze/deskcon-android,0,0,1,0,0,0,0,1
RadAd/WebIntents,0,0,0,0,0,0,1,1
cycojesus/IDontWannaWakeUpLikeCrap,0,0,0,0,1,0,0,1
ErNaveen/PinterestLikeAdapterView,0,1,0,0,0,0,0,1
egorpushkin/iremote,3,0,0,2,5,0,0,10
jmgjmg/MSMBle,0,0,0,0,0,0,3,3
alt236/Under-the-Hood---Android,0,2,0,0,0,0,0,2
Chluverman/android-gltron,0,1,0,0,0,1,0,2
dstahlke/rdn-wallpaper,1,0,2,0,0,0,0,3
gwhiteside/abstract-art,0,0,0,0,4,0,0,4
MAVProxyUser/NoTauLabsNag,3,2,3,2,0,2,0,12
victoraldecoa/peixe-android,0,4,0,0,0,0,0,4
thiemonagel/vegdroid,0,0,0,0,0,2,0,2
CmdrStardust/Alite,0,0,0,0,0,1,0,1
camtaylor/LockDoc,0,0,4,0,0,0,1,5
meer07/QiitaReader,0,4,0,0,0,0,0,4
karkum/HokieHelper,0,4,0,0,0,0,2,6
tenaciousRas/android-hst-feed,0,0,1,0,0,0,3,4
ocrespo/VNCpp,0,0,5,0,4,0,0,9
Bandits789/WhatSongIsItAnyway,0,0,10,0,0,0,0,10
gecko655/earthquake,0,0,1,0,0,0,0,1
taky/effy,1,0,0,0,0,0,0,1
jacekkopecky/parkjam,0,0,0,0,43,0,0,43
frankkienl/LiveViewNotifications,0,0,0,0,0,1,0,1
bjerva/tsp-lexikon-android,0,0,0,0,171,6,0,177
asilarslan/Material-Template,1,0,0,0,0,0,0,1
nicslabdev/LockPic,1,0,0,0,0,0,0,1
davidru85/CarLocator,0,0,1,0,0,0,0,1
MRinalducci/DroneRemote,4,1,0,0,0,0,0,5
asksven/BetterBatteryStats,0,1,0,9,0,8,1,19
tmxdyf/swiftp,0,2,0,0,3,0,0,5
AmrutSai/sikuna,0,2,0,0,1,0,2,5
songshimvp/android-vnc-viewer,0,0,0,0,7,3,0,10
google/paco,0,0,2,0,20,17,0,39
makings/mst,1,0,31,0,0,4,7,43
bkueng/clash_of_balls,0,0,0,22,0,0,0,22
nelze/singkamas,0,0,0,0,0,1,0,1
wisedog/WhoochooAdvSms,0,2,5,0,0,0,0,7
xstreck1/MedicalScanner,0,1,0,0,0,0,0,1
Etsuni/YANA,0,0,0,1,4,0,1,6
cfan8/TGFC,0,0,0,0,0,1,0,1
ebeanstalkuf/Beanstalk,0,0,0,0,0,0,2,2
ProjectSPAN/android-manet-ptt,0,0,0,0,0,1,0,1
DWoodhouse22/StreetCrimes,0,0,0,0,0,0,1,1
tamsler/android-flash-cards,0,0,0,0,0,3,0,3
michael-wang/tatala,0,0,0,0,0,1,0,1
deeps96/SensorMax,0,1,0,0,0,0,0,1
AndruByrne/Rezzo,0,1,0,0,8,0,0,9
namsor/gendreapp,6,0,0,0,1,0,0,7
ColdStart/ColdStart,0,0,0,0,0,0,2,2
DizzyThermal/Auto-Away,0,0,1,0,9,0,2,12
rootkit007/cobra-iradar-notifier,4,2,2,0,0,0,0,8
iekumdario/SSPIA,0,0,6,0,0,0,5,11
tooOpen/Dropking,0,2,0,0,0,0,0,2
noise-lab/myspeedtest-old,0,1,0,0,0,0,0,1
chunmeng/StorageWidget,0,0,1,0,0,0,0,1
nbeckman/NumberNDate,0,0,1,0,0,0,0,1
chatch/Koren,0,0,0,0,0,0,1,1
rickfluck/androidaq,0,2,0,0,0,0,0,2
steveinflow/n-puzzle-2,0,0,0,0,0,0,1,1
ksedgwic/BTCReceive,0,1,0,0,0,0,0,1
mi9rom/achartengine,1,0,0,0,0,7,0,8
murat8505/foursquared,3,0,0,0,26,0,0,29
i-p-tel/sipdroid,0,0,0,0,0,4,0,4
obonal/droidtracker,0,0,0,0,2,0,0,2
ToYonos/hfr4droid,0,2,2,0,4,1,0,9
Dissem/Drupal-Editor,0,0,1,0,0,0,0,1
aikuma/aikuma,9,0,0,0,3,0,8,20
busradar/busradar,0,0,1,0,4,0,0,5
adq/redbus,0,0,0,0,18,3,0,21
dozingcat/CamTimer,1,0,0,0,0,0,0,1
CyanogenMod/android_packages_inputmethods_PinyinIME,1,0,0,0,0,0,0,1
nolanlawson/ChordReaderRoot,0,0,0,0,1,0,0,1
jiro-aqua/aGrep,3,0,0,0,0,0,0,3
FieldDB/AndroidFieldDB,0,0,6,0,0,0,3,9
madeye/proxydroid,0,6,0,0,0,2,0,8
d355/sms-trial,0,0,0,0,4,3,1,8
matyo91/ChinesePuzzle,0,2,0,0,0,1,0,3
axkr/hblog,1,0,0,3,0,1,5,10
evisong/noodlesmaster,4,1,0,0,0,2,1,8
offbye/ChinaTVGuide,0,0,0,0,26,0,0,26
amsoftgroup/dcmetro_android,0,5,0,0,0,0,0,5
xgouchet/Ted,2,0,0,0,0,0,0,2
xxv/robotfindskitten,1,0,0,0,0,0,0,1
byterom/android_external_whispersystems_TextSecure,0,0,0,0,6,8,0,14
aleksz/rss-reader,0,0,0,0,1,0,0,1
Odoo-mobile/messaging,1,0,30,0,0,29,0,60
mohaxspb/Odnako,0,0,1,0,0,0,0,1
budowski/budoist,0,0,0,0,7,0,0,7
nethergrim/GymDiary,0,2,14,0,0,0,0,16
Mortech/HexGame_Android2,0,0,0,0,2,0,0,2
orenyodfat/lbm-client,0,1,1,1,0,0,1,4
almalence/OpenCamera,2,9,9,61,0,84,0,165
shlusiak/Freebloks-Android,0,0,3,0,0,0,2,5
cody82/sigfood,0,0,0,0,2,0,0,2
antoniy/Gidder,0,1,0,0,0,0,0,1
xtuaok/android_share_gyazo,0,0,1,0,0,0,0,1
grennis/MongoExplorer,0,0,2,0,0,1,0,3
Zyg0te/FuelPlanner,0,0,1,0,0,0,0,1
hwki/SimpleBitcoinWidget,0,0,0,0,0,3,0,3
prrt714/Kaleidoscope,0,0,0,2,0,0,0,2
snow/sahara,0,0,1,0,0,3,1,5
romero4742/AndroidCrazyFlieTwitch,2,0,0,1,0,0,0,3
jongha/android-ipchecker,0,2,0,0,0,0,0,2
ftena/Triforce,0,0,1,0,0,0,0,1
chaosbastler/opentraining,0,0,5,0,0,4,1,10
kurtmc/MyEarnings,12,0,4,0,0,0,0,16
username115/FRCScouting,0,0,31,0,0,1,0,32
ThibaudM/timelapse-sony,0,1,0,0,0,0,0,1
lordi/tickmate,3,0,2,0,0,7,0,12
marcopar/SliderSynth,1,0,0,0,0,3,0,4
axlecho/memo,0,3,6,0,0,0,2,11
EvanRespaut/Equate,0,0,0,2,1,0,0,3
lindolsang/My-Cashbook,0,0,1,0,0,0,2,3
dragthor/learning,0,0,1,0,9,3,0,13
benkaiser/android-node-music-sync,0,0,1,0,1,0,0,2
ldionmarcil/OSRSHelper,0,0,0,1,10,0,0,11
SimonMarquis/Android-PreferencesManager,0,0,0,0,2,0,0,2
grigory51/tech-mail_schedule,0,0,0,0,0,0,1,1
stevyhacker/guessthecity-app,0,1,3,0,0,0,1,5
mmnormyle/BraggingRights,0,0,2,0,0,0,0,2
PeterChu2/Tweet-Offline,0,0,2,0,0,0,0,2
LukeStonehm/LogicalDefence,0,0,0,0,0,0,3,3
abhinavabcd/QuizApp_Android,0,1,0,0,0,9,0,10
crysxd/Studiportal-Checker,0,1,0,0,0,0,0,1
JMS-1/BitMe,0,0,0,0,2,0,0,2
riaanjvos/etoll_logbook,0,0,0,0,0,2,0,2
reloZid/android-anuto,2,0,0,0,0,0,0,2
ngageoint/anti-piracy-android-app,0,0,0,0,0,0,1,1
patcon/writeily,0,0,0,0,0,0,2,2
svu/UkeWatch,0,1,0,0,0,0,0,1
HexTree/red-sea-tools,0,0,0,0,0,0,8,8
Efesto/red-vs-green,0,2,0,0,0,0,0,2
javiersantos/Moticons,0,0,0,0,1,0,0,1
Utyff/pMetro,2,2,0,0,0,0,0,4
nawrasg/Atlantis,0,0,0,1,0,0,0,1
petrows/RK3066-Headunit-service,0,1,0,0,0,0,1,2
numixproject/org.numixproject.hermes,0,0,0,0,0,6,8,14
prashantgupta24/Ring-Message,0,0,6,0,0,0,0,6
omo/hiccup,0,0,0,0,3,0,0,3
rujoota/Inviks1,0,0,0,0,4,0,2,6
Fibonacci-/DogecoinMonitor,10,0,0,0,0,0,0,10
soboapps/AIOhfark,0,0,0,0,0,4,0,4
Freddy95/Primary-Notifications,0,0,1,0,0,0,0,1
AlphaDelete/AguaConsciente,0,1,0,0,0,0,0,1
SwapnilShahGit/foody,0,0,0,0,0,0,17,17
ankurkhemani/DailyLaws,0,0,0,0,0,13,0,13
vvkirillov/simple-android-CPU-usage-viewer,2,0,0,0,0,0,0,2
nawrasg/Call-Notifier,0,0,4,0,0,0,0,4
v-adhithyan/suprabhatham-android-app,0,0,2,0,0,0,0,2
EEdge/FoodCraft,4,0,0,0,0,0,0,4
daniellu789/TripCard,0,0,0,0,0,1,0,1
PeterChu2/Trendy,0,0,0,0,0,0,1,1
ethanthomas/BasicAndroidNetworking,0,0,0,0,0,0,1,1
HugoZhang33/HT2015,0,34,0,0,0,0,0,34
goolick/FastMaps,0,0,1,0,0,0,0,1
Schoumi/Goblim,0,0,2,0,0,0,0,2
jeancaffou/paragliding-site,0,0,0,0,2,0,0,2
zhengkm/AIEDxEDM2015,0,16,0,0,0,0,0,16
XunMengWinter/Now,0,3,0,0,0,0,0,3
AlexisDeschamps/TournamentDesigner,0,0,35,0,0,0,6,41
zom/Zom-Android,0,42,75,1,26,13,0,157
apps4av/avare,0,19,0,0,0,0,0,19
davidschwegler/lfnw,0,0,1,0,0,0,0,1
paarma/BibliotecaFupMovil,0,0,0,0,0,6,1,7
sairam1592/RoyalEnfieldFT,0,0,2,2,0,0,0,4
xuyuwei/FX-News,0,0,0,0,0,0,1,1
scognito/Abraboxabra,0,1,0,0,0,0,0,1
ww24/pattern,0,0,0,0,0,0,1,1
AlexBHarley/omi_Android,0,0,2,0,0,0,1,3
evanklein1/Grade-Calculator,0,0,1,0,0,3,0,4
qrazhan/hunter2,0,0,0,0,0,1,0,1
WillyShakes/KeepInTouch,0,0,2,0,0,0,0,2
ak1801/MilkDiary,0,0,0,0,3,2,0,5
huteri/ngobrol,0,0,0,0,0,0,7,7
atwatanabe/RealCube,0,0,0,0,3,0,0,3
Yegie/TireSize,0,0,0,0,0,0,1,1
hijonoob/beetleescape,28,0,0,0,0,0,0,28
mdellavo/plasma,1,0,0,0,0,0,0,1
ValeryIvanov/Ideas,0,0,2,0,0,0,0,2
rulogarcillan/PainLog,0,1,1,0,0,0,0,2
naman14/S-Tools,0,0,0,0,2,7,1,10
aman23091998/core_app,0,0,1,0,0,0,1,2
google/ringdroid,0,0,0,0,0,1,0,1
pocmo/yaaic,3,0,0,0,2,9,1,15
